id,match_id,fecha,deporte,partido,home_team,away_team,seleccion,casa,cuota,prob_real,prob_modelo,prob_sharp,edge_pct,stake_eur,factor_conf,n_sharp,fair_open,creada
8b45b7c384ea73d5baadc160b8729234|Emilio Nava|Betfair,8b45b7c384ea73d5baadc160b8729234,2026-04-26T09:00:00Z,tennis_atp_madrid_open,Arthur Fils vs Emilio Nava,Arthur Fils,Emilio Nava,Emilio Nava,Betfair,5.7,0.2007,,,14.39,0.03,,,,2026-04-24T19:45:48
e16af22e69c257bb330d4be8e8b72931|Tallon Griekspoor|Pinnacle,e16af22e69c257bb330d4be8e8b72931,2026-04-26T09:00:00Z,tennis_atp_madrid_open,Tallon Griekspoor vs Lorenzo Musetti,Tallon Griekspoor,Lorenzo Musetti,Tallon Griekspoor,Pinnacle,4.07,0.2596,,,5.67,0.02,,,,2026-04-24T19:45:48
e132410edd29ffde6956a0ef39eff64e|Junto Nakatani|Betfair,e132410edd29ffde6956a0ef39eff64e,2026-05-02T11:00:00Z,boxing_boxing,Naoya Inoue vs Junto Nakatani,Naoya Inoue,Junto Nakatani,Junto Nakatani,Betfair,5.0,0.2098,,,4.92,0.01,,,,2026-04-24T19:45:48
ee929f6b6d9500fb8c91bbaac8d71794|Jose Armando Resendiz|BetOnline.ag,ee929f6b6d9500fb8c91bbaac8d71794,2026-05-02T21:00:00Z,boxing_boxing,Jose Armando Resendiz vs Jaime Munguia,Jose Armando Resendiz,Jaime Munguia,Jose Armando Resendiz,BetOnline.ag,2.95,0.3552,,,4.79,0.02,,,,2026-04-24T19:45:48
a8ce0fa205d8229a211754eec386b61f|Gilberto Ramirez|BetOnline.ag,a8ce0fa205d8229a211754eec386b61f,2026-05-03T03:00:00Z,boxing_boxing,Gilberto Ramirez vs David Benavidez,Gilberto Ramirez,David Benavidez,Gilberto Ramirez,BetOnline.ag,4.99,0.2076,,,3.61,0.01,,,,2026-04-24T19:45:48
00b17950d5713024cb3b011e56cb2f58|Solomon Dacres|Betfair,00b17950d5713024cb3b011e56cb2f58,2026-05-09T20:00:00Z,boxing_boxing,Jared Anderson vs Solomon Dacres,Jared Anderson,Solomon Dacres,Solomon Dacres,Betfair,4.1,0.2632,,,7.89,0.03,,,,2026-04-24T19:45:48
30ef422e4011f94920c5ab5ebf5323c7|Anthony Joshua|Coral,30ef422e4011f94920c5ab5ebf5323c7,2026-12-31T22:55:00Z,boxing_boxing,Anthony Joshua vs Tyson Fury,Anthony Joshua,Tyson Fury,Anthony Joshua,Coral,2.5,0.4209,,,5.23,0.03,,,,2026-04-24T19:45:48
f02afc2144b7ee7577b4832b34c8a842|Matt Guymon|BetOnline.ag,f02afc2144b7ee7577b4832b34c8a842,2026-04-25T00:00:00Z,mma_mixed_martial_arts,Quentin Gaskin vs Matt Guymon,Quentin Gaskin,Matt Guymon,Matt Guymon,BetOnline.ag,3.7,0.292,,,8.05,0.03,,,,2026-04-24T19:45:48
b390ef641a9cccfac91867957a84637e|Zebaztian Kadestam|BetOnline.ag,b390ef641a9cccfac91867957a84637e,2026-04-25T16:00:00Z,mma_mixed_martial_arts,Dominik Humburger vs Zebaztian Kadestam,Dominik Humburger,Zebaztian Kadestam,Zebaztian Kadestam,BetOnline.ag,3.25,0.3208,,,4.25,0.02,,,,2026-04-24T19:45:48
69ad0ca0db8f4f188ea51a504006528e|Leon Armes|BetOnline.ag,69ad0ca0db8f4f188ea51a504006528e,2026-04-25T19:40:00Z,mma_mixed_martial_arts,Damon Donald vs Leon Armes,Damon Donald,Leon Armes,Leon Armes,BetOnline.ag,2.33,0.4717,,,9.91,0.07,,,,2026-04-24T19:45:48
c0aba79416a727841a9bc74ba317e525|Lucas Brennan|Betfair,c0aba79416a727841a9bc74ba317e525,2026-04-25T21:00:00Z,mma_mixed_martial_arts,Francis Marshall vs Lucas Brennan,Francis Marshall,Lucas Brennan,Lucas Brennan,Betfair,5.5,0.1916,,,5.38,0.01,,,,2026-04-24T19:45:48
c0aba79416a727841a9bc74ba317e525|Lucas Brennan|Betsson,c0aba79416a727841a9bc74ba317e525,2026-04-25T21:00:00Z,mma_mixed_martial_arts,Francis Marshall vs Lucas Brennan,Francis Marshall,Lucas Brennan,Lucas Brennan,Betsson,5.55,0.1916,,,6.33,0.01,,,,2026-04-24T19:45:48
c0aba79416a727841a9bc74ba317e525|Lucas Brennan|Nordic Bet,c0aba79416a727841a9bc74ba317e525,2026-04-25T21:00:00Z,mma_mixed_martial_arts,Francis Marshall vs Lucas Brennan,Francis Marshall,Lucas Brennan,Lucas Brennan,Nordic Bet,5.55,0.1916,,,6.33,0.01,,,,2026-04-24T19:45:48
657d5a2a5693234ca1aa298a7ee4d977|Sedriques Dumas|Nordic Bet,657d5a2a5693234ca1aa298a7ee4d977,2026-04-25T21:00:00Z,mma_mixed_martial_arts,Jackson McVey vs Sedriques Dumas,Jackson McVey,Sedriques Dumas,Sedriques Dumas,Nordic Bet,2.75,0.3797,,,4.4,0.03,,,,2026-04-24T19:45:48
657d5a2a5693234ca1aa298a7ee4d977|Sedriques Dumas|Betsson,657d5a2a5693234ca1aa298a7ee4d977,2026-04-25T21:00:00Z,mma_mixed_martial_arts,Jackson McVey vs Sedriques Dumas,Jackson McVey,Sedriques Dumas,Sedriques Dumas,Betsson,2.75,0.3797,,,4.4,0.03,,,,2026-04-24T19:45:48
c625ba8faec8f1445c8543f1c0698f15|Mayra Bueno Silva|Betfair,c625ba8faec8f1445c8543f1c0698f15,2026-04-25T21:00:00Z,mma_mixed_martial_arts,Mayra Bueno Silva vs Michelle Montague,Mayra Bueno Silva,Michelle Montague,Mayra Bueno Silva,Betfair,4.4,0.2381,,,4.76,0.01,,,,2026-04-24T19:45:48
1e2535b41da42e943080f31ad43b4106|Justin Burlinson|BetOnline.ag,1e2535b41da42e943080f31ad43b4106,2026-04-25T21:45:00Z,mma_mixed_martial_arts,Sean Jr. Clancy vs Justin Burlinson,Sean Jr. Clancy,Justin Burlinson,Justin Burlinson,BetOnline.ag,3.75,0.292,,,9.51,0.03,,,,2026-04-24T19:45:48
54e3384b808042a9f21b3139925a61c5|Joselyne Edwards|1xBet,54e3384b808042a9f21b3139925a61c5,2026-04-26T00:00:00Z,mma_mixed_martial_arts,Norma Dumont vs Joselyne Edwards,Norma Dumont,Joselyne Edwards,Joselyne Edwards,1xBet,2.88,0.3584,,,3.21,0.02,,,,2026-04-24T19:45:48
54e3384b808042a9f21b3139925a61c5|Joselyne Edwards|Coolbet,54e3384b808042a9f21b3139925a61c5,2026-04-26T00:00:00Z,mma_mixed_martial_arts,Norma Dumont vs Joselyne Edwards,Norma Dumont,Joselyne Edwards,Joselyne Edwards,Coolbet,2.88,0.3584,,,3.21,0.02,,,,2026-04-24T19:45:48
54e3384b808042a9f21b3139925a61c5|Joselyne Edwards|William Hill,54e3384b808042a9f21b3139925a61c5,2026-04-26T00:00:00Z,mma_mixed_martial_arts,Norma Dumont vs Joselyne Edwards,Norma Dumont,Joselyne Edwards,Joselyne Edwards,William Hill,2.9,0.3584,,,3.92,0.02,,,,2026-04-24T19:45:48
2f4054240d75e5992a009c2eb2886288|Tim Elliott|Pinnacle,2f4054240d75e5992a009c2eb2886288,2026-05-02T11:00:00Z,mma_mixed_martial_arts,Tim Elliott vs Stephen Erceg,Tim Elliott,Stephen Erceg,Tim Elliott,Pinnacle,4.65,0.2393,,,11.27,0.03,,,,2026-04-24T19:45:48
2f4054240d75e5992a009c2eb2886288|Tim Elliott|Betway,2f4054240d75e5992a009c2eb2886288,2026-05-02T11:00:00Z,mma_mixed_martial_arts,Tim Elliott vs Stephen Erceg,Tim Elliott,Stephen Erceg,Tim Elliott,Betway,4.33,0.2393,,,3.62,0.01,,,,2026-04-24T19:45:48
2f1aabeeefbe5b02db96846ac879a6ae|Derrick Lewis|Coolbet,2f1aabeeefbe5b02db96846ac879a6ae,2026-06-15T00:00:00Z,mma_mixed_martial_arts,Derrick Lewis vs Josh Hokit,Derrick Lewis,Josh Hokit,Derrick Lewis,Coolbet,3.85,0.2812,,,8.26,0.03,,,,2026-04-24T19:45:48
9cf76c6ecde4824965ca04da644dfefa|Kyle Daukaus|1xBet,9cf76c6ecde4824965ca04da644dfefa,2026-06-15T01:00:00Z,mma_mixed_martial_arts,Bo Nickal vs Kyle Daukaus,Bo Nickal,Kyle Daukaus,Kyle Daukaus,1xBet,3.75,0.2812,,,5.44,0.02,,,,2026-04-24T19:45:48
54eb45b661945af7aa7da285a12e835c|Michael Chandler|Pinnacle,54eb45b661945af7aa7da285a12e835c,2026-06-15T01:30:00Z,mma_mixed_martial_arts,Mauricio Ruffy vs Michael Chandler,Mauricio Ruffy,Michael Chandler,Michael Chandler,Pinnacle,5.67,0.1837,,,4.14,0.01,,,,2026-04-24T19:45:48
44764f3a7c087a1f160782b738393e85|Tommy Paul|Smarkets,44764f3a7c087a1f160782b738393e85,2026-04-24T18:20:00Z,tennis_atp_madrid_open,Thiago Agustin Tirante vs Tommy Paul,Thiago Agustin Tirante,Tommy Paul,Tommy Paul,Smarkets,2.78,0.3864,,,7.41,0.04,,,,2026-04-24T19:46:45
44764f3a7c087a1f160782b738393e85|Tommy Paul|Coral,44764f3a7c087a1f160782b738393e85,2026-04-24T18:20:00Z,tennis_atp_madrid_open,Thiago Agustin Tirante vs Tommy Paul,Thiago Agustin Tirante,Tommy Paul,Tommy Paul,Coral,3.2,0.3333,,,6.67,0.03,,,,2026-04-24T19:50:44
44764f3a7c087a1f160782b738393e85|Tommy Paul|Ladbrokes,44764f3a7c087a1f160782b738393e85,2026-04-24T18:20:00Z,tennis_atp_madrid_open,Thiago Agustin Tirante vs Tommy Paul,Thiago Agustin Tirante,Tommy Paul,Tommy Paul,Ladbrokes,3.2,0.3333,,,6.67,0.03,,,,2026-04-24T19:50:44
58925930660363678d22de2b6b8ee4a9|Learner Tien|Betfair,58925930660363678d22de2b6b8ee4a9,2026-04-25T15:00:00Z,tennis_atp_madrid_open,Learner Tien vs Adolfo Daniel Vallejo,Learner Tien,Adolfo Daniel Vallejo,Learner Tien,Betfair,2.4,0.4315,,,3.57,0.03,,,,2026-04-24T19:50:44
58925930660363678d22de2b6b8ee4a9|Learner Tien|Matchbook,58925930660363678d22de2b6b8ee4a9,2026-04-25T15:00:00Z,tennis_atp_madrid_open,Learner Tien vs Adolfo Daniel Vallejo,Learner Tien,Adolfo Daniel Vallejo,Learner Tien,Matchbook,2.4,0.4315,,,3.57,0.03,,,,2026-04-24T19:50:44
